screen_name,name,account_created,tweets,following,followers
jimmychoo,Jimmy Choo,9 years ago,5035,1167,1522147
VictoriasSecret,Victoria's Secret,9 years ago,154563,1227,11254842
Burberry,Burberry,9 years ago,12901,13,8471352
MichaelKors,Michael Kors,8 years ago,12111,592,3543585
LouisVuitton_US,Louis Vuitton US,9 years ago,4469,250,1562480
LouboutinWorld,Christian Louboutin,9 years ago,12486,696,3046752
ManoloBlahnik,Manolo Blahnik,6 years ago,3620,326,256378
giorgioarmani,Giorgio Armani,8 years ago,10787,384,3412671
Bergdorfs,Bergdorf Goodman,8 years ago,52313,1261,463981
Balmain,Balmain,6 years ago,3921,1067,544099
VeraWangGang,Vera Wang,9 years ago,6952,418,868857
dkny,DKNY,9 years ago,1487,143,525886
DVF,DVF,10 years ago,12484,933,1135443
Cartier,Cartier,9 years ago,1817,2,416644
TiffanyAndCo,Tiffany & Co.,8 years ago,13164,127,1663086
Bulgariofficial,Bulgari,9 years ago,2857,484,607794
OscardelaRenta,Oscar de la Renta,9 years ago,14402,468,438606
KraftSingles,Kraft Singles,2 years ago,149,16,2016
NotThatHilary,Hilary,9 years ago,59050,1373,2356
directvnow,DIRECTV NOW,2 years ago,12272,410,53753
BofA_News,Bank of America News,7 years ago,8141,451,453101
Acura,Acura,9 years ago,18822,2244,160936
ItsFlo,Flo from Progressive,7 years ago,3517,109,49823
DIRECTV,DIRECTV,10 years ago,67651,1648,234286
DeloitteDIGI_US,Deloitte Digital US,9 years ago,8590,737,25390
Deloitte,Deloitte,11 years ago,21264,1429,430483
uline,Uline,10 years ago,680,3,3664
DermiraInc,Dermira Inc,12 months ago,172,88,313
SonyElectronics,Sony Electronics,9 years ago,18716,4748,357202
lululemon,lululemon,9 years ago,253893,369,1064221
AlaskaAir,Alaska Airlines,10 years ago,238464,5496,320575
Home2Suites,Home2 Suites,9 years ago,5105,4457,11581
ChoiceHotels,Choice Hotels,10 years ago,17005,3947,43151
baroness,The Baroness,about a year ago,583,128,8343
FirestoneTires,Firestone Tires,9 years ago,1569,181,41110
Menards,Menards,8 years ago,646,116,4114
HiltonNewsroom,Hilton,9 years ago,25671,5249,151288
ToshibaUSA,Toshiba,9 years ago,8615,1209,117566
LGUS,LG Electronics,7 years ago,67317,8761,315748
lenovo,Lenovo,9 years ago,52868,1698,666077
adidas,adidas,7 years ago,13754,147,3477076
Google,Google,9 years ago,88245,218,20361303
Academy,Academy Sports + Outdoors,8 years ago,21712,7731,315485
HolidayInn,Holiday Inn,9 years ago,9970,47887,115139
Pringles_UK,Pringles,4 years ago,5739,368,25932
TripAdvisor,TripAdvisor,9 years ago,19661,3836,3599690
JohnLegere,John Legere,5 years ago,42491,303,5732716
BestWestern,Best Western,9 years ago,23806,4032,83554
adidasoriginals,adidas Originals,9 years ago,17380,366,3967680
LQ,LaQuinta Inns&Suites,9 years ago,9725,2257,12091
MrPeanut,Mr Peanut,7 years ago,1424,79,13765
CourtyardHotels,Courtyard Hotels,9 years ago,76204,158,71701
Illustrator,Adobe Illustrator,9 years ago,16713,269,432699
HiltonHotels,Hilton Hotels,9 years ago,49647,9405,290659
creativecloud,Adobe Creative Cloud,6 years ago,18844,2028,411553
