fortune_rank_2018,company_name,twitter_handle_&_link,press_contact,ticker_symbol,ceo_name,ceo_title,sector,industry,hq_location,website,years_on_fortune_list
176,Freeport-McMoRan,n/a ,,FCX,Richard C. Adkerson,"Vice Chairman, President & Chief Executive Officer",Energy,"Mining, Crude-Oil Production",Phoenix,http://www.fcx.com,13
177,Genuine Parts,@napaknowhow,,GPC,Paul D. Donahue,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,Atlanta,http://www.genpt.com,24
178,Emerson Electric,@emerson_news,,EMR,David N. Farr,Chairman & Chief Executive Officer,Industrials,Industrial Machinery,St. Louis,http://www.emerson.com,24
179,DaVita,@DaVita,,DVA,Kent J. Thiry,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,Denver,http://www.davita.com,12
180,Supervalu,@supervalupr,,SVU,Mark Gross,"President, Chief Executive Officer & Director",Food & Drug Stores,Food and Drug Stores,"Eden Prairie, Minn.",http://www.supervalu.com,24
181,Gap,@Gap,,GPS,Arthur L. Peck,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Apparel,San Francisco,http://www.gapinc.com,24
182,General Mills,@generalmills,,GIS,Jeffrey L. Harmening,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,Minneapolis,http://www.generalmills.com,24
183,Nordstrom,@Nordstrom,,JWN,Blake W. Nordstrom,Co-President & Director,Retailing,General Merchandisers,Seattle,http://www.nordstrom.com,24
184,Colgate-Palmolive,@colgate,,CL,Ian M. Cook,"Chairman, President & Chief Executive Officer",Household Products,Household and Personal Products,New York City,http://www.colgatepalmolive.com,24
185,American Electric Power,@aepnews,,AEP,Nicholas K. Akins,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Columbus, Ohio",http://www.aep.com,24
186,XPO Logistics,@xpologistics,,XPO,Bradley S. Jacobs,Chairman & Chief Executive Officer,Transportation,Transportation and Logistics,"Greenwich, Conn.",http://www.xpo.com,3
187,Goodyear Tire & Rubber,@goodyear,,GT,Richard J. Kramer,"Chairman, President & Chief Executive Officer",Motor Vehicles & Parts,Motor Vehicles and Parts,"Akron, Ohio",http://www.goodyear.com,24
188,Omnicom Group,@omnicom,,OMC,John D. Wren,"President, Chief Executive Officer & Director",Business Services,"Advertising, marketing",New York City,http://www.omnicomgroup.com,22
189,CDW,@CDWCorp,,CDW,Thomas E. Richards,"Chairman, President & Chief Executive Officer",Technology,Information Technology Services,"Lincolnshire, Ill.",http://www.cdw.com,14
190,Sherwin-Williams,@sherwinwilliams,,SHW,John G. Morikis,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,Cleveland,http://www.sherwin.com,24
191,PPG Industries,@ppg,,PPG,Michael H. McGarry,Chairman & Chief Executive Officer,Chemicals,Chemicals,Pittsburgh,http://www.ppg.com,24
192,Texas Instruments,@TXInstruments,,TXN,Brian T. Crutcher,"Chairman, President & Chief Executive Officer",Technology,Semiconductors and Other Electronic Components,Dallas,http://www.ti.com,24
193,C.H. Robinson Worldwide,@chrobinsoninc,,CHRW,John P. Wiehoff,"Chairman, President & Chief Executive Officer",Transportation,Transportation and Logistics,"Eden Prairie, Minn.",http://www.chrobinson.com,17
194,WestRock,@westrock,,WRK,Steven C. Voorhees,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers",Atlanta,http://www.westrock.com,7
195,Cognizant Technology Solutions,@cognizant,,CTSH,Francisco D'Souza,Chairman & Chief Executive Officer,Technology,Information Technology Services,"Teaneck, N.J.",http://www.cognizant.com,8
196,Newell Brands,@newell_brands,,NWL,Michael B. Polk,Chairman & Chief Executive Officer,Household Products,"Home Equipment, Furnishings","Hoboken, N.J.",http://www.newellbrands.com,23
197,CBS,@cbs,,CBS,Leslie Moonves,"Chairman, President & Chief Executive Officer",Media,Entertainment,New York City,http://www.cbscorporation.com,24
198,Envision Healthcare,@EnvisionLeads,,EVHC,Christopher A. Holden,"President, Chief Executive Officer & Director",Health Care,Health Care: Pharmacy and Other Services,Nashville,http://www.evhc.net,1
199,Monsanto,@MonsantoCo,,MON,Hugh Grant,Chairman & Chief Executive Officer,Chemicals,Chemicals,St. Louis,http://www.monsanto.com,15
200,Aramark,@aramark,,ARMK,Eric J. Foss,"Chairman, President & Chief Executive Officer",Business Services,Diversified Outsourcing Services,Philadelphia,http://www.aramark.com,24
201,Applied Materials,@applied_blog,,AMAT,Gary E. Dickerson,"President, Chief Executive Officer & Director",Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",http://www.appliedmaterials.com,23
202,Waste Management,@WasteManagement,,WM,James C. Fish Jr.,"President, Chief Executive Officer & Director",Business Services,Waste Management,Houston,http://www.wm.com,20
203,DISH Network,@dish,,DISH,W. Erik Carlson,"President, Chief Executive Officer & Director",Telecommunications,Telecommunications,"Englewood, Colo.",http://www.dish.com,17
204,Illinois Tool Works,n/a ,,ITW,E. Scott Santi,"Chairman, President & Chief Executive Officer",Industrials,Industrial Machinery,"Glenview, Ill.",http://www.itw.com,24
