fortune_rank_2018,company_name,twitter_handle_&_link,press_contact,ticker_symbol,ceo_name,ceo_title,sector,industry,hq_location,website,years_on_fortune_list
286,Laboratory Corp. of America,@labcorp,,LH,David P. King,"Chairman, President & Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,"Burlington, N.C.",http://www.labcorp.com,9
287,W.W. Grainger,@grainger,,GWW,Donald G. MacPherson,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Diversified,"Lake Forest, Ill.",http://www.grainger.com,24
288,Qurate Retail,@QurateRetailGrp,,QRTEA,Gregory B. Maffei,Chairman,Retailing,Internet Services and Retailing,"Englewood, Colo.",http://www.libertyinteractive.com,14
289,Autoliv,@autolivinc,,ALV,Jan Carlson,"Chairman, President & Chief Executive Officer",Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",http://www.autoliv.com,20
290,Live Nation Entertainment,@LiveNation,,LYV,Michael Rapino,"President, Chief Executive Officer & Director",Media,Entertainment,"Beverly Hills, Calif.",http://www.livenationentertainment.com,9
291,Xerox,@Xerox,,XRX,John Visentin,Chairman & Chief Executive Officer,Technology,"Computers, Office Equipment","Norwalk, Conn.",http://www.xerox.com,24
292,Leidos Holdings,@leidosinc,,LDOS,Roger A. Krone,Chairman & Chief Executive Officer,Technology,Information Technology Services,"Reston, Va.",http://www.leidos.com,18
293,Corning,@Corning,,GLW,Wendell P. Weeks,"Chairman, President & Chief Executive Officer",Industrials,"Electronics, Electrical Equip.","Corning, N.Y.",http://www.corning.com,23
294,Lithia Motors,@lithiamotors,,LAD,Bryan B. DeBoer,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Medford, Ore.",http://www.lithiainvestorrelations.com,4
295,Expedia Group,@expedia,,EXPE,Mark D. Okerstrom,"President, Chief Executive Officer & Director",Retailing,Internet Services and Retailing,"Bellevue, Wash.",http://www.expediagroup.com,4
296,Republic Services,@RepublicService,,RSG,Donald W. Slager,"President, Chief Executive Officer & Director",Business Services,Waste Management,Phoenix,http://www.republicservices.com,9
297,Jacobs Engineering Group,@jacobsconnects,,JEC,Steven J. Demetriou,"Chairman, President & Chief Executive Officer",Engineering & Construction,"Engineering, Construction",Dallas,http://www.jacobs.com,18
298,Sonic Automotive,@SonicAutomotive,,SAH,B. Scott Smith,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Charlotte, N.C.",http://www.sonicautomotive.com,19
299,Ally Financial,@ally,,ALLY,Jeffrey J. Brown,Chairman & Chief Executive Officer,Financials,Diversified Financials,Detroit,http://www.ally.com,11
300,LKQ,@lkqcorp,,LKQ,Dominick P. Zarcone,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,Chicago,http://www.lkqcorp.com,5
301,BorgWarner,@BorgWarner,,BWA,James R. Verrier,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",http://www.borgwarner.com,12
302,Fidelity National Financial,n/a,,FNF,Raymond R. Quirk,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Jacksonville, Fla.",http://www.fnf.com,11
303,SunTrust Banks,@SunTrust,,STI,William H. Rogers Jr.,Chairman & Chief Executive Officer,Financials,Commercial Banks,Atlanta,http://www.suntrust.com,24
304,IQVIA Holdings,@IQVIA_global,,,Ari Bousbib,"Chairman, President & Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,"Durham, N.C.",www.iqvia.com,5
305,Reliance Steel & Aluminum,n/a,,RS,Gregg J. Mollins,"President, Chief Executive Officer & Director",Materials,Metals,Los Angeles,http://www.rsac.com,12
306,Nvidia,@nvidia,,NVDA,Jen-Hsun Huang,"President, Chief Executive Officer & Director",Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",http://www.nvidia.com,2
307,Voya Financial,@voya,,VOYA,Rodney O. Martin Jr.,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.voya.com,4
308,CenterPoint Energy,@energyinsights,,CNP,Scott M. Prochazka,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,Houston,http://www.centerpointenergy.com,24
309,eBay,@eBay,,EBAY,Devin N. Wenig,"President, Chief Executive Officer & Director",Technology,Internet Services and Retailing,"San Jose, Calif.",http://www.ebay.com,13
310,Eastman Chemical,@EastmanChemCo,,EMN,Mark J. Costa,Chairman & Chief Executive Officer,Chemicals,Chemicals,"Kingsport, Tenn.",http://www.eastman.com,24
311,American Family Insurance Group,@amfam,,,Jack C. Salzwedel,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Madison, Wis.",http://www.amfam.com,22
312,Steel Dynamics,n/a,,STLD,Mark D. Millett,"President, Chief Executive Officer & Director",Materials,Metals,"Fort Wayne, Ind.",http://www.steeldynamics.com,9
313,Pacific Life,@pacificlife,,,James T. Morris,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Newport Beach, Calif.",http://www.pacificlife.com,22
314,Chesapeake Energy,@chesapeake,,CHK,Robert D. Lawler,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Oklahoma City,http://www.chk.com,13
315,Mohawk Industries,@mhkgreenworks,,MHK,Jeffrey S. Lorberbaum,Chairman & Chief Executive Officer,Household Products,"Home Equipment, Furnishings","Calhoun, Ga.",http://www.mohawkind.com,19
316,Quanta Services,@quanta_services,,PWR,Earl C. Austin Jr.,"President, Chief Executive Officer & Director",Engineering & Construction,"Engineering, Construction",Houston,http://www.quantaservices.com,6
317,Advance Auto Parts,@advanceauto,,AAP,Thomas R. Greco,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Roanoke, Va.",http://www.advanceautoparts.com,16
318,Owens & Minor,@owens_minor,,OMI,P. Cody Phipps,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,"Mechanicsville, Va.",http://www.owens-minor.com,24
319,United Natural Foods,https://twitter.com/UNFI,,UNFI,Steven L. Spinner,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,"Providence, R.I.",http://www.unfi.com,6
320,Tenneco,@tennecoam_emea,,TEN,Brian J. Kesseler,Chief Executive Officer & Director,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lake Forest, Ill.",http://www.tenneco.com,24
321,Conagra Brands,@conagrabrands,,CAG,Sean M. Connolly,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,Chicago,http://www.conagrabrands.com,24
322,GameStop,@GameStop,,GME,Shane S. Kim,Interim Chief Executive Officer,Retailing,Specialty Retailers: Other,"Grapevine, Texas",http://www.gamestop.com,12
323,Hormel Foods,@hormelfoods,,HRL,James P. Snee,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Consumer Products,"Austin, Minn.",http://www.hormelfoods.com,24
324,Hilton Worldwide Holdings,@hiltonworld,,HLT,Christopher J. Nassetta,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","McLean, Va.",http://www.hiltonworldwide.com,15
325,Frontier Communications,@frontiercorp,,FTR,Daniel J. McCarthy,"President, Chief Executive Officer & Director",Telecommunications,Telecommunications,"Norwalk, Conn.",http://www.frontier.com,5
326,Fidelity National Information Services,@fisglobal,,FIS,Gary A. Norcross,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Jacksonville, Fla.",http://www.fisglobal.com,9
327,Public Service Enterprise Group,@PSEGNews,,PEG,Ralph Izzo,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Newark, N.J.",http://www.pseg.com,24
328,Boston Scientific,@bostonsci,,BSX,Michael F. Mahoney,"Chairman, President & Chief Executive Officer",Health Care,Medical Products and Equipment,"Marlborough, Mass.",http://www.bostonscientific.com,15
329,O’Reilly Automotive,@oreillyauto,,ORLY,Gregory D. Johnson,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Springfield, Mo.",http://www.oreillyauto.com,9
330,Charles Schwab,@charlesschwab,,SCHW,Walter W. Bettinger II,"President, Chief Executive Officer & Director",Financials,Securities,San Francisco,http://www.aboutschwab.com,20
331,Global Partners,n/a,,GLP,Eric Slifka,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,"Waltham, Mass.",http://www.globalp.com,12
332,PVH,@PVHCorp,,PVH,Emanuel Chirico,Chairman & Chief Executive Officer,Apparel,Apparel,New York City,http://www.pvh.com,8
333,Avis Budget Group,@goavisbudget,,CAR,Larry D. De Shon,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Parsippany, N.J.",http://www.avisbudgetgroup.com,21
334,Targa Resources,n/a,,TRGP,Joe Bob Perkins,Chairman & Chief Executive Officer,Energy,Pipelines,Houston,http://www.targaresources.com,10
335,Hertz Global Holdings,@hertz,,HTZ,Kathryn V. Marinello,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Estero, Fla.",http://www.hertz.com,11
336,Calpine,@calpinecareers,,,John B. Hill III,"President, Chief Executive Officer & Director",Energy,Energy,Houston,http://www.calpine.com,17
337,Mutual of Omaha Insurance,@mutualofomaha,,,James T. Blackledge,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",Omaha,http://www.mutualofomaha.com,22
338,Crown Holdings,@crowncork_jobs,,CCK,Timothy J. Donahue,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers",Philadelphia,http://www.crowncork.com,24
339,Peter Kiewit Sons’,@kiewit,,,Bruce E. Grewcock,"President, Chief Executive Officer & Director",Engineering & Construction,"Engineering, Construction",Omaha,http://www.kiewit.com,19
340,Dick’s Sporting Goods,@dicks,,DKS,Edward W. Stack,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Coraopolis, Pa.",http://www.dicks.com,9
341,PulteGroup,@PulteHomes,,PHM,Ryan R. Marshall,"President, Chief Executive Officer & Director",Engineering & Construction,Homebuilders,Atlanta,http://www.pultegroupinc.com,16
342,Navistar International,n/a,,NAV,Troy A. Clarke,"Chairman, President & Chief Executive Officer",Industrials,Construction and Farm Machinery,"Lisle, Ill.",http://www.navistar.com,22
343,Thrivent Financial for Lutherans,@Thrivent,,,Bradford L. Hewitt,Chief Executive Officer & Director,Financials,"Insurance: Life, Health (Mutual)",Minneapolis,http://www.thrivent.com,24
344,DCP Midstream,@dcpmidstreamlp,,DCP,Wouter T. van Kempen,"Chairman, President & Chief Executive Officer",Energy,Pipelines,Denver,http://www.dcpmidstream.com,1
345,Air Products & Chemicals,@airproducts,,APD,Seifi Ghasemi,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"Allentown, Pa.",http://www.airproducts.com,24
346,Veritiv,@Veritiv,,VRTV,Mary A. Laschinger,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Diversified,Atlanta,http://www.veritivcorp.com,3
347,AGCO,@AGCOcorp,,AGCO,Martin H. Richenhagen,"Chairman, President & Chief Executive Officer",Industrials,Construction and Farm Machinery,"Duluth, Ga.",http://www.agcocorp.com,17
348,Genworth Financial,@genworth,,GNW,Thomas J. McInerney,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Richmond, Va.",http://www.genworth.com,13
349,Univar,@Univar,,UNVR,David C. Jukes,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,"Downers Grove, Ill.",http://www.univar.com,3
350,News Corp.,@newscorp,,NWSA,Robert J. Thomson,Chairman & Chief Executive Officer,Media,"Publishing, Printing",New York City,http://www.newscorp.com,4
351,SpartanNash,n/a,,SPTN,David M. Staples,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Food and Grocery,"Byron Center, Mich.",http://www.spartannash.com,8
352,Westlake Chemical,@WESTLAKECHEM,,WLK,Albert Yuan Chao,"President, Chief Executive Officer & Director",Chemicals,Chemicals,Houston,http://www.westlake.com,1
353,Williams,@williamsupdates,,WMB,Alan S. Armstrong,"President, Chief Executive Officer & Director",Energy,Energy,"Tulsa, Okla.",http://www.williams.com,24
354,Lam Research,@LamResearch,,LRCX,Martin B. Anstice,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"Fremont, Calif.",http://www.lamresearch.com,3
355,Alaska Air Group,@AAG_CU,,ALK,Bradley D. Tilden,"Chairman, President & Chief Executive Officer",Transportation,Airlines,Seattle,http://www.alaskaair.com,5
356,Jones Lang LaSalle,@jll,,JLL,Christian Ulbrich,"President, Chief Executive Officer & Director",Financials,Real estate,Chicago,http://www.jll.com,4
357,Anixter International,@anixter,,AXE,Robert J. Eck,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,"Glenview, Ill.",http://www.anixter.com,16
358,Campbell Soup,@CampbellSoupCo,,CPB,Denise M. Morrison,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Camden, N.J.",http://www.campbellsoupcompany.com,24
359,Interpublic Group,@InterpublicIPG,,IPG,Michael I. Roth,Chairman & Chief Executive Officer,Business Services,"Advertising, marketing",New York City,http://www.interpublic.com,21
360,Dover,@DoverCorp,,DOV,Richard J. Tobin,"President, Chief Executive Officer & Director",Industrials,Industrial Machinery,"Downers Grove, Ill.",http://www.dovercorporation.com,24
361,Zimmer Biomet Holdings,@zimmerbiomet,,ZBH,Bryan C. Hanson,"President, Chief Executive Officer & Director",Health Care,Medical Products and Equipment,"Warsaw, Ind.",http://www.zimmerbiomet.com,3
362,Dean Foods,@deanfoods,,DF,Ralph P. Scozzafava,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,Dallas,http://www.deanfoods.com,20
363,Foot Locker,@footlocker,,FL,Richard A. Johnson,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Apparel,New York City,http://www.footlocker-inc.com,24
364,Eversource Energy,@EversourceCorp,,ES,James J. Judge,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Springfield, Mass.",http://www.eversource.com,23
365,Alliance Data Systems,@AllianceData,,ADS,Edward J. Heffernan,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Plano, Texas",http://www.alliancedata.com,4
366,Fifth Third Bancorp,@FifthThird,,FITB,Greg D. Carmichael,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,Cincinnati,http://www.53.com,19
367,Quest Diagnostics,@QuestDX,,DGX,Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,"Secaucus, N.J.",http://www.questdiagnostics.com,18
368,EMCOR Group,@EmcorpGroup,,EME,Anthony J. Guzzi,"President, Chief Executive Officer & Director",Engineering & Construction,"Engineering, Construction","Norwalk, Conn.",http://www.emcorgroup.com,18
369,W.R. Berkley,@WRBerkleyCorp,,WRB,W. Robert Berkley Jr.,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),"Greenwich, Conn.",http://www.wrberkley.com,15
370,WESCO International,@WESCOCorp,,WCC,John J. Engel,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Diversified,Pittsburgh,http://www.wesco.com,20
371,Coty,@cotyinc,,COTY,Camillo Pane,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,New York City,http://www.coty.com,1
372,WEC Energy Group,@WECEnergyGroup,,WEC,Gale E. Klappa,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,Milwaukee,http://www.wecenergygroup.com,9
373,Masco,n/a,,MAS,Keith J. Allman,"President, Chief Executive Officer & Director",Household Products,"Home Equipment, Furnishings","Livonia, Mich.",http://www.masco.com,24
374,DXC Technology,@DXCTechnology,,DXC,J. Michael Lawrie,"Chairman, President & Chief Executive Officer",Technology,Information Technology Services,"Tysons, Va.",http://www.dxc.technology,1
375,Auto-Owners Insurance,@AutoOwnersIns,,,Jeffrey S. Tagsold,Chief Executive Officer & Director,Financials,Insurance: Property and Casualty (Mutual),"Lansing, Mich.",http://www.auto-owners.com,16
376,Jones Financial (Edward Jones),@EdwardJones,,,James D. Weddle,Chief Executive Officer & Managing Partner,Financials,Securities,"Des Peres, Mo",www.iqvia.comwww.edwardjones.com,6
377,Liberty Media,n/a,,LSXMA,Gregory B. Maffei,"President, Chief Executive Officer & Director",Media,Entertainment,"Englewood, Colo.",http://www.libertymedia.com,2
378,Erie Insurance Group,@erie_insurance,,,Timothy G. NeCastro,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),"Erie, Pa.",http://www.erieinsurance.com,15
379,Hershey,@Hersheys,,HSY,Michele G. Buck,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Hershey, Pa.",http://www.thehersheycompany.com,24
380,PPL,@PPLCorp,,PPL,William H. Spence,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Allentown, Pa.",http://www.pplweb.com,24
381,Huntington Ingalls Industries,@HIIndustries,,HII,C. Michael Petters,"President, Chief Executive Officer & Director",Aerospace & Defense,Aerospace and Defense,"Newport News, Va.",http://www.huntingtoningalls.com,6
382,Mosaic,@mosaicscience,,MOS,James C. O'Rourke,"President, Chief Executive Officer & Director",Chemicals,Chemicals,"Plymouth, Minn.",http://www.mosaicco.com,13
383,J.M. Smucker,@smuckers,,SJM,Mark T. Smucker,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Orrville, Ohio",http://www.jmsmucker.com,8
384,Delek US Holdings,n/a,,DK,Ezra Uzi Yemin,"Chairman, President & Chief Executive Officer",Energy,Petroleum Refining,"Brentwood, Tenn.",http://www.delekus.com,4
385,Newmont Mining,@Newmont,,NEM,Gary J. Goldberg,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production","Greenwood Village, Colo.",http://www.newmont.com,15
386,Constellation Brands,@cbrands,,STZ,Robert S. Sands,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Beverages,"Victor, N.Y.",http://www.cbrands.com,6
387,Ryder System,@RyderSystemInc,,R,Robert E. Sanchez,"Chairman, President & Chief Executive Officer",Transportation,"Trucking, Truck Leasing",Miami,http://www.ryder.com,24
388,National Oilwell Varco,@NOVGlobal ‏,,NOV,Clay C. Williams,"Chairman, President & Chief Executive Officer",Energy,"Oil and Gas Equipment, Services",Houston,http://www.nov.com,13
389,Adobe Systems,@Adobe,,ADBE,Shantanu Narayen,"Chairman, President & Chief Executive Officer",Technology,Computer Software,"San Jose, Calif.",http://www.adobe.com,2
390,LifePoint Health,@LifePointHealth,,LPNT,William F. Carpenter III,Chairman & Chief Executive Officer,Health Care,Health Care: Medical Facilities,"Brentwood, Tenn.",http://www.lifepointhealth.net,4
391,Tractor Supply,@TractorSupply,,TSCO,Gregory A. Sandfort,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Brentwood, Tenn.",http://www.tractorsupply.com,5
392,Thor Industries,n/a,,THO,Robert W. Martin,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Elkhart, Ind.",http://www.thorindustries.com,1
393,Dana,@DanaInc_,,DAN,James K. Kamsickas,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Maumee, Ohio",http://www.dana.com,24
394,Weyerhaeuser,@Weyerhaeuser,,WY,Doyle R. Simons,"President, Chief Executive Officer & Director",Materials,Forest and Paper Products,Seattle,http://www.weyerhaeuser.com,24
395,J.B. Hunt Transport Services,@jbhuntdrivers,,JBHT,John N. Roberts III,"President, Chief Executive Officer & Director",Transportation,"Trucking, Truck Leasing","Lowell, Ark.",http://www.jbhunt.com,6
396,Darden Restaurants,@darden,,DRI,Eugene I. Lee Jr.,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure",Food Services,Orlando,http://www.darden.com,22
397,Yum China Holdings,n/a,,YUMC,Joey Wat,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure",Food Services,"Plano, Texas",http://ir.yumchina.com,2
398,Blackstone Group,@blackstone,,BX,Stephen A. Schwarzman,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.blackstone.com,3
399,Berry Global Group,n/a,,BERY,Thomas E. Salmon,Chairman & Chief Executive Officer,Materials,"Packaging, Containers","Evansville, Ind.",http://www.berryglobal.com,2
400,Builders FirstSource,@BldrFirstSource,,BLDR,M. Chad Crow,"President, Chief Executive Officer & Director",Materials,"Building Materials, Glass",Dallas,http://www.bldr.com,2
401,Activision Blizzard,@ATVI_AB,,ATVI,Robert A. Kotick,Chairman & Chief Executive Officer,Technology,Entertainment,"Santa Monica, Calif.",http://www.activisionblizzard.com,2
402,JetBlue Airways,@JetBlue,,JBLU,Robin Hayes,"President, Chief Executive Officer & Director",Transportation,Airlines,"Long Island City, N.Y.",http://www.jetblue.com,6
403,Amphenol,@amphenol,,APH,R. Adam Norwitt,"President, Chief Executive Officer & Director",Technology,Network and Other Communications Equipment,"Wallingford, Conn.",http://www.amphenol.com,4
404,A-Mark Precious Metals,n/a,,AMRK,Gregory N. Roberts,Chairman & Chief Executive Officer,Materials,Miscellaneous,"El Segundo, Calif.",http://www.amark.com,4
405,Spirit AeroSystems Holdings,@spiritaero,,SPR,Thomas C. Gentile III,"President, Chief Executive Officer & Director",Aerospace & Defense,Aerospace and Defense,"Wichita, Kans.",http://www.spiritaero.com,4
406,R.R. Donnelley & Sons,@rrdonnelley,,RRD,Daniel L. Knotts,"President, Chief Executive Officer & Director",Media,"Publishing, Printing",Chicago,http://www.rrdonnelley.com,24
407,Harris,@HarrisCorp,,HRS,William M. Brown,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Melbourne, Fla.",http://www.harris.com,14
408,Expeditors Intl. of Washington,@EXPD_Official,,EXPD,Jeffrey S. Musser,"President, Chief Executive Officer & Director",Transportation,Transportation and Logistics,Seattle,http://www.expeditors.com,11
409,Discovery,@Discovery,,DISCA,David M. Zaslav,"President, Chief Executive Officer & Director",Media,Entertainment,"Silver Spring, Md.",http://www.discovery.com,5
410,Owens-Illinois,n/a,,OI,Andres A. Lopez,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers","Perrysburg, Ohio",http://www.o-i.com,24
411,Sanmina,@sanminacorp,,SANM,Robert K. Eulau,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"San Jose, Calif.",http://www.sanmina.com,18
412,KeyCorp,@KeycorpGroup,,KEY,Beth E. Mooney,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,Cleveland,http://www.key.com,20
413,American Financial Group,@GAIGroup,,AFG,Carl H. Lindner lll/S. Craig Lindner,"President, Co-Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),Cincinnati,http://www.afginc.com,19
414,Oshkosh,@oshkoshbgosh,,OSK,Wilson R. Jones,"President, Chief Executive Officer & Director",Industrials,Construction and Farm Machinery,"Oshkosh, Wis.",http://www.oshkoshcorporation.com,11
415,Rockwell Collins,@rockwellcollins,,COL,Robert K. Ortberg,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Cedar Rapids, Iowa",http://www.rockwellcollins.com,7
416,Kindred Healthcare,@kindredhealth,,KND,Benjamin A. Breier,"President, Chief Executive Officer & Director",Health Care,Health Care: Medical Facilities,"Louisville, Ky.",http://www.kindredhealthcare.com,15
417,Insight Enterprises,@insightent,,NSIT,Kenneth T. Lamneck,"President, Chief Executive Officer & Director",Technology,Information Technology Services,"Tempe, Ariz.",http://www.insight.com,10
418,Dr Pepper Snapple Group,@DrPepperSnapple,,DPS,Larry D. Young,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Beverages,"Plano, Texas",http://www.drpeppersnapplegroup.com,10
419,American Tower,n/a,,AMT,James D. Taiclet Jr.,"Chairman, President & Chief Executive Officer",Financials,Real estate,Boston,http://www.americantower.com,2
420,Fortive,@FortiveCorp,,FTV,James A. Lico,"President, Chief Executive Officer & Director",Industrials,Industrial Machinery,"Everett, Wash.",http://www.fortive.com,1
421,Ralph Lauren,@RalphLauren,,RL,Patrice Louvet,"President, Chief Executive Officer & Director",Apparel,Apparel,New York City,http://www.ralphlauren.com,10
422,HRG Group,n/a,,HRG,Joseph S. Steinberg,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,New York City,http://www.hrggroup.com,5
423,Ascena Retail Group,@dressbarn,,ASNA,David R. Jaffe,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Apparel,"Mahwah, N.J.",http://www.ascenaretail.com,2
424,United Rentals,@united_rentals,,URI,Michael J. Kneeland,Chairman & Chief Executive Officer,Business Services,Miscellaneous,"Stamford, Conn.",http://www.unitedrentals.com,5
425,Casey’s General Stores,@caseysgenstore,,CASY,Terry W. Handley,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Ankeny, Iowa",http://www.caseys.com,8
426,Graybar Electric,@Graybar,,,Kathleen M. Mazzarella,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Diversified,St. Louis,http://www.graybar.com,24
427,Avery Dennison,@averydennison,,AVY,Mitchell R. Butier,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers","Glendale, Calif.",http://www.averydennison.com,24
428,MasTec,n/a,,MTZ,Jose R. Mas,Chief Executive Officer,Engineering & Construction,"Engineering, Construction","Coral Gables, Fla.",http://www.mastec.com,1
429,CMS Energy,n/a,,CMS,Patricia K. Poppe,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,"Jackson, Mich.",http://www.cmsenergy.com,24
430,HD Supply Holdings,@HDSupply,,HDS,Joseph J. DeAngelo,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Diversified,Atlanta,http://www.hdsupply.com,6
431,Raymond James Financial,@raymondjames,,RJF,Paul C. Reilly,Chairman & Chief Executive Officer,Financials,Securities,"St. Petersburg, Fla.",http://www.raymondjames.com,3
432,NCR,@NCRCorporation,,NCR,Michael D. Hayford,Chief Executive Officer & Director,Technology,"Computers, Office Equipment",Atlanta,http://www.ncr.com,21
433,Hanesbrands,@hanes,,HBI,Gerald W. Evans Jr.,Chairman & Chief Executive Officer,Apparel,Apparel,"Winston-Salem, N.C.",http://www.hanes.com,4
434,Asbury Automotive Group,@AsburyAutoGroup,,ABG,David W. Hult,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Duluth, Ga.",http://www.asburyauto.com,12
435,Citizens Financial Group,@CitizensBank,,CFG,Bruce W. Van Saun,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,"Providence, R.I.",http://www.citizensbank.com,3
436,Packaging Corp. of America,@packagingcorp,,PKG,Mark W. Kowlzan,Chairman & Chief Executive Officer,Materials,"Packaging, Containers","Lake Forest, Ill.",http://www.packagingcorp.com,4
437,Alleghany,n/a,,Y,Weston M. Hicks,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.alleghany.com,4
438,Apache,@ApacheCorp,,APA,John J. Christmann IV,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Houston,http://www.apachecorp.com,15
439,Dillard’s,@Dillards,,DDS,William T. Dillard II,Chairman & Chief Executive Officer,Retailing,General Merchandisers,"Little Rock, Ark.",http://www.dillards.com,24
440,Assurant,@Assurant,,AIZ,Alan B. Colberg,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.assurant.com,14
441,Franklin Resources,@FTI_US,,BEN,Gregory E. Johnson,Chairman & Chief Executive Officer,Financials,Securities,"San Mateo, Calif.",http://www.franklinresources.com,13
442,Owens Corning,@OwensCorning,,OC,Michael H. Thaman,"Chairman, President & Chief Executive Officer",Materials,"Building Materials, Glass","Toledo, Ohio",http://www.owenscorning.com,24
